0,0.14286,0.28571,0.42857,0.57143,0.71429,0.85714,1,1.1429,1.2857,1.4286,1.5714,1.7143,1.8571,2,2.1429,2.2857,2.4286,2.5714,2.7143,2.8571,3,3.1429,3.2857,3.4286,3.5714,3.7143,3.8571,4,4.1429,4.2857,4.4286,4.5714,4.7143,4.8571,5,5.1429,5.2857,5.4286,5.5714,5.7143,5.8571,6,6.1429,6.2857,6.4286,6.5714,6.7143,6.8571,7,7.1429,7.2857,7.4286,7.5714,7.7143,7.8571,8,8.1429,8.2857,8.4286,8.5714,8.7143,8.8571,9,9.1429,9.2857,9.4286,9.5714,9.7143,9.8571,10,10.143,10.286,10.429,10.571,10.714,10.857,11,11.143,11.286,11.429,11.571,11.714,11.857,12,12.143,12.286,12.429,12.571,12.714,12.857,13,13.143,13.286,13.429,13.571,13.714,13.857,14,14.143,14.286,14.429,14.571,14.714,14.857,15,15.143,15.286,15.429,15.571,15.714,15.857,16,16.143,16.286,16.429,16.571,16.714,16.857,17
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11.739,-11.137,-10.535,-9.9331,-9.1304,-8.5284,-7.5251,-6.7224,-6.1204,-5.1171,-4.7157,-3.7124,-3.311,-2.5084,-1.9064,-1.3043,-0.50167,-0.10033,0.301,1.1037,1.505,2.107,2.709,3.1104,3.913,4.1137,4.7157,5.1171,5.7191,5.9197,6.5217,6.9231,7.5251,7.7258,8.3278,8.5284,9.1304,9.5318,10.134,10.334,10.936,11.338,11.94,12.14,12.542,13.144,13.344,13.746,14.348,14.548,15.151,15.552,15.953,16.555,16.957,17.157,17.759,18.161,18.562,18.763,19.565,19.967,20.167,20.97,21.371,21.572,21.973,22.776,22.977,23.378,23.779,24.181,24.983,25.385,25.786,26.187,26.589,27.391,27.793,28.194,28.595,28.997,29.599,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11.739,-11.338,-10.736,-10.334,-9.3311,-8.5284,-7.9264,-6.9231,-6.3211,-5.5184,-4.5151,-4.1137,-3.1104,-2.709,-1.9064,-1.505,-0.70234,-0.301,0.50167,0.90301,1.7057,1.9064,2.709,2.9097,3.7124,4.3144,4.7157,5.3177,5.5184,6.1204,6.5217,6.9231,7.3244,7.9264,8.1271,8.7291,8.9298,9.5318,9.9331,10.535,10.736,11.338,11.739,12.341,12.542,12.943,13.545,13.746,14.147,14.749,15.151,15.351,15.953,16.355,16.555,17.358,17.559,17.96,18.562,18.963,19.365,19.967,20.368,20.769,20.97,21.773,22.174,22.375,22.776,23.579,23.98,24.181,24.582,25.184,25.786,26.187,26.589,26.99,27.391,28.395,28.796,29.197,29.599,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11.538,-11.137,-10.535,-9.7324,-8.7291,-8.3278,-7.3244,-6.3211,-5.7191,-4.9164,-4.1137,-3.5117,-2.5084,-2.107,-1.3043,-0.90301,-0.10033,0.301,1.1037,1.505,2.107,2.5084,3.1104,3.5117,4.1137,4.5151,5.1171,5.7191,5.9197,6.5217,6.9231,7.3244,7.7258,8.3278,8.5284,9.1304,9.5318,10.134,10.334,10.936,11.137,11.739,12.14,12.341,12.943,13.344,13.746,14.348,14.548,15.151,15.552,15.753,16.355,16.756,17.157,17.759,18.161,18.361,19.164,19.365,19.766,20.167,20.769,21.171,21.572,22.174,22.575,22.977,23.177,23.779,24.381,24.783,25.184,25.585,26.187,26.789,27.191,27.592,27.993,28.395,29.197,29.599,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11.739,-11.538,-10.936,-9.9331,-9.1304,-8.1271,-7.5251,-6.5217,-5.5184,-5.1171,-4.1137,-3.7124,-2.709,-1.9064,-1.505,-0.70234,-0.301,0.50167,0.90301,1.7057,1.9064,2.709,3.1104,3.7124,3.913,4.7157,4.9164,5.5184,6.1204,6.5217,6.9231,7.3244,7.9264,8.1271,8.7291,8.9298,9.5318,9.9331,10.535,10.736,11.338,11.739,12.341,12.542,12.943,13.545,13.746,14.147,14.749,14.95,15.351,15.953,16.355,16.957,17.157,17.559,18.161,18.562,18.763,19.164,19.766,20.167,20.569,21.171,21.572,21.973,22.375,22.977,23.378,23.779,24.181,24.783,25.184,25.585,25.987,26.388,26.99,27.592,27.993,28.395,28.997,29.398,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11.739,-11.137,-10.334,-9.5318,-8.5284,-7.9264,-6.9231,-5.9197,-5.3177,-4.5151,-3.5117,-3.1104,-2.107,-1.7057,-0.90301,-0.10033,0.301,1.1037,1.505,2.107,2.5084,3.311,3.5117,4.1137,4.5151,5.1171,5.5184,6.1204,6.7224,6.9231,7.5251,7.7258,8.3278,8.5284,9.1304,9.5318,10.134,10.334,10.936,11.137,11.739,12.14,12.542,12.943,13.344,13.746,14.147,14.548,15.151,15.552,15.753,16.355,16.756,16.957,17.759,17.96,18.361,18.963,19.365,19.565,20.368,20.769,20.97,21.371,21.973,22.375,22.776,23.177,23.779,24.181,24.582,24.983,25.786,26.187,26.589,26.99,27.391,27.993,28.595,28.997,29.398,29.799,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11.739,-11.338,-10.535,-9.7324,-8.7291,-7.7258,-7.3244,-6.1204,-5.1171,-4.7157,-3.7124,-2.709,-2.3077,-1.505,-1.1037,-0.301,0.301,0.90301,1.7057,2.107,2.709,3.1104,3.7124,4.1137,4.7157,5.1171,5.7191,5.9197,6.5217,7.1237,7.3244,7.9264,8.1271,8.7291,9.1304,9.7324,9.9331,10.535,10.736,11.338,11.739,12.341,12.542,12.943,13.545,13.746,14.147,14.749,14.95,15.552,15.953,16.154,16.957,17.157,17.559,18.161,18.562,18.763,19.365,19.766,20.167,20.569,21.171,21.572,21.773,22.575,22.977,23.177,23.579,24.181,24.783,24.983,25.385,25.786,26.589,26.99,27.391,27.793,28.194,28.796,29.599,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11.538,-10.936,-10.134,-9.1304,-8.1271,-7.1237,-6.5217,-5.5184,-4.5151,-3.913,-2.9097,-2.107,-1.7057,-0.70234,-0.301,0.50167,0.90301,1.505,2.3077,2.709,3.311,3.7124,4.3144,4.7157,5.3177,5.5184,6.1204,6.7224,6.9231,7.5251,7.7258,8.3278,8.7291,9.3311,9.5318,10.134,10.334,10.936,11.338,11.94,12.14,12.742,12.943,13.344,13.946,14.348,14.548,15.151,15.552,15.953,16.355,16.756,17.358,17.559,17.96,18.562,18.963,19.365,19.766,20.167,20.569,20.97,21.572,21.973,22.375,22.776,23.378,23.779,23.98,24.381,25.184,25.585,25.987,26.388,26.789,27.592,27.993,28.395,28.796,29.197,29.799,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11.137,-10.334,-9.3311,-8.3278,-7.3244,-6.7224,-5.7191,-4.7157,-3.7124,-3.1104,-2.3077,-1.505,-0.90301,-0.10033,0.301,1.1037,1.505,2.107,2.9097,3.311,3.913,4.3144,4.9164,5.1171,5.7191,6.1204,6.7224,7.1237,7.5251,7.9264,8.3278,8.9298,9.1304,9.7324,9.9331,10.535,10.936,11.538,11.739,12.341,12.542,12.943,13.545,13.746,14.147,14.749,14.95,15.552,15.953,16.154,16.957,17.157,17.559,18.161,18.361,18.763,19.365,19.766,20.167,20.769,21.171,21.371,21.973,22.375,22.776,23.177,23.579,24.181,24.582,24.983,25.385,26.187,26.388,26.789,27.191,27.592,28.395,28.997,29.398,29.799,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11.739,-10.535,-9.7324,-8.7291,-7.5251,-6.5217,-5.9197,-4.9164,-3.913,-2.9097,-2.3077,-1.505,-1.1037,-0.301,0.70234,0.90301,1.7057,2.107,2.9097,3.5117,3.913,4.5151,4.7157,5.3177,5.7191,6.3211,6.5217,7.1237,7.7258,7.9264,8.5284,8.7291,9.3311,9.7324,10.334,10.535,11.137,11.338,11.94,12.341,12.742,13.144,13.344,13.946,14.348,14.548,15.151,15.552,16.154,16.355,16.756,17.358,17.759,17.96,18.562,18.963,19.164,19.967,20.167,20.569,21.171,21.572,21.973,22.174,22.977,23.177,23.579,23.98,24.783,25.184,25.385,25.786,26.388,26.99,27.391,27.793,28.194,28.595,29.398,29.799,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11.739,-11.338,-9.9331,-8.9298,-7.7258,-6.7224,-5.5184,-5.1171,-3.913,-3.1104,-2.107,-1.7057,-0.70234,-0.301,0.50167,1.3043,1.7057,2.3077,2.709,3.5117,4.1137,4.5151,5.1171,5.3177,5.9197,6.3211,6.7224,7.3244,7.5251,8.1271,8.5284,9.1304,9.3311,9.9331,10.134,10.736,10.936,11.538,11.94,12.542,12.742,13.144,13.545,13.946,14.348,14.749,15.151,15.753,15.953,16.355,16.957,17.157,17.759,18.161,18.562,19.164,19.365,19.766,20.167,20.769,21.171,21.371,22.174,22.375,22.776,22.977,23.779,24.181,24.582,24.783,25.585,25.987,26.388,26.789,27.391,27.993,28.395,28.796,29.197,29.599,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11.538,-10.134,-9.1304,-8.1271,-6.9231,-5.7191,-4.7157,-4.1137,-3.1104,-2.107,-1.3043,-0.90301,0.10033,0.50167,1.3043,1.9064,2.3077,3.1104,3.311,4.1137,4.7157,4.9164,5.7191,5.9197,6.5217,7.1237,7.3244,7.9264,8.1271,8.7291,8.9298,9.5318,9.9331,10.334,10.736,11.338,11.538,12.14,12.341,12.943,13.344,13.545,14.147,14.348,14.749,15.351,15.552,16.154,16.555,16.756,17.358,17.759,17.96,18.562,18.963,19.365,19.967,20.167,20.569,21.171,21.572,21.973,22.375,22.977,23.177,23.579,24.181,24.582,24.983,25.385,25.786,26.589,26.99,27.391,27.793,28.194,28.796,29.398,29.799,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11.739,-10.936,-9.5318,-8.3278,-7.1237,-5.9197,-4.9164,-3.7124,-3.311,-2.3077,-1.3043,-0.50167,-0.10033,0.90301,1.3043,1.9064,2.709,3.1104,3.7124,4.1137,4.7157,5.3177,5.7191,6.1204,6.5217,7.1237,7.5251,7.9264,8.3278,8.7291,9.3311,9.5318,10.134,10.334,10.936,11.137,11.739,12.14,12.542,12.943,13.545,13.746,14.147,14.749,14.95,15.151,15.753,16.154,16.756,16.957,17.358,17.96,18.161,18.562,19.164,19.565,19.766,20.368,20.769,21.171,21.572,22.174,22.375,22.776,23.378,23.779,24.181,24.381,25.184,25.585,25.987,26.388,26.99,27.391,27.793,28.194,28.595,29.197,29.799,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11.137,-9.7324,-8.5284,-7.3244,-6.1204,-4.9164,-3.913,-2.9097,-1.9064,-1.3043,-0.50167,0.50167,0.90301,1.7057,1.9064,2.709,3.5117,3.7124,4.3144,5.1171,5.3177,5.9197,6.3211,6.7224,7.3244,7.5251,8.1271,8.5284,8.9298,9.3311,9.7324,10.134,10.736,10.936,11.538,11.739,12.341,12.542,13.144,13.545,13.746,14.348,14.548,15.151,15.552,15.753,16.355,16.555,16.957,17.559,17.759,18.361,18.763,19.164,19.565,19.967,20.368,20.769,21.371,21.572,21.973,22.575,22.977,23.177,23.579,24.381,24.582,24.983,25.385,26.187,26.388,26.789,27.191,27.993,28.395,28.796,29.197,29.599,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11.739,-10.535,-8.7291,-7.5251,-6.3211,-5.1171,-3.913,-2.9097,-1.9064,-0.90301,-0.50167,0.50167,1.3043,1.7057,2.5084,3.1104,3.5117,4.1137,4.5151,5.1171,5.7191,5.9197,6.5217,7.1237,7.3244,7.9264,8.1271,8.7291,8.9298,9.5318,9.9331,10.334,10.736,11.137,11.538,11.94,12.341,12.943,13.144,13.746,13.946,14.348,14.95,15.151,15.351,15.953,16.355,16.957,17.157,17.559,18.161,18.361,18.763,19.365,19.565,19.967,20.569,20.769,21.171,21.773,22.174,22.575,22.977,23.378,23.779,24.181,24.783,25.184,25.585,25.987,26.388,26.99,27.391,27.793,28.194,28.997,29.398,29.799,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-10.736,-8.9298,-7.7258,-5.7191,-4.5151,-3.311,-2.9097,-1.7057,-0.90301,0.10033,0.50167,1.3043,2.107,2.5084,3.311,3.913,4.3144,4.9164,5.1171,5.7191,6.3211,6.7224,7.1237,7.7258,7.9264,8.5284,8.7291,9.3311,9.5318,10.134,10.334,10.936,11.137,11.739,12.14,12.542,12.943,13.344,13.746,13.946,14.548,14.749,15.351,15.753,15.953,16.555,16.756,17.358,17.759,17.96,18.562,18.963,19.164,19.766,20.167,20.368,21.171,21.371,21.773,22.174,22.776,22.977,23.378,23.98,24.381,24.783,24.983,25.786,26.187,26.589,26.789,27.592,27.993,28.395,28.796,29.197,29.799,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
